Title,Release Date,Developer,Publisher,Genres,Product Rating,User Score,User Ratings Count
Ziggurat (2012),2/17/2012,Action Button Entertainment,Freshuu Inc.,Action,,6.9,14
4X4 EVO 2,11/15/2001,Terminal Reality,Gathering,Auto Racing Sim,Rated E For Everyone,,
MotoGP 2 (2001),1/22/2002,Namco,Namco,Auto Racing Sim,Rated E For Everyone,5.8,
Gothic 3,11/14/2006,Piranha Bytes,Aspyr,Western RPG,Rated T For Teen,7.5,832
Siege Survival: Gloria Victis,5/18/2021,FishTankStudio,Black Eye Games,RPG,,6.5,10
Guitar Hero III: Legends of Rock,10/28/2007,Neversoft Entertainment,RedOctane,Rhythm,Rated T For Teen,8.4,144
Frantix: A Puzzle Adventure,9/19/2005,Killer Game,Sony Online Entertainment,Action Puzzle,Rated E For Everyone,,
Xenoraid,11/8/2016,10tons,10tons,Vertical Shoot-'Em-Up,Rated E +10 For Everyone +10,6.2,6
The Sims: Livin' Large,8/27/2000,Maxis,EA Games,Virtual Life,Rated T For Teen,7.7,20
Retrovirus,11/16/2012,Cadenza,Cadenza,FPS,,6.6,20
Til Morning's Light,5/20/2015,WayForward,Amazon Game Studios,Action,,6.4,7
The Political Machine 2012,7/31/2012,Stardock,Stardock,Turn-Based Strategy,,6.5,30
"Warhammer 40,000: Space Marine",9/6/2011,Relic Entertainment,THQ,Third Person Shooter,Rated M For Mature,7.8,259
Star Wars Episode III: Revenge of the Sith,5/4/2005,Double Helix Games,LucasArts,Action Adventure,Rated T For Teen,7.7,27
Saints Row IV,8/19/2013,Volition Inc.,Deep Silver,Open-World Action,Rated M For Mature,7.4,1997
The Hobbit: The Prelude to the Lord of the Rings,11/11/2003,Inevitable Entertainment,Sierra Entertainment,Action Adventure,Rated E For Everyone,8.4,18
Lost Orbit,5/12/2015,PixelNAUTS,PixelNAUTS,2D Platformer,Rated T For Teen,7.1,23
SwapQuest,2/23/2016,Constantin Graf,Constantin Graf,JRPG,Rated E +10 For Everyone +10,7,6
Command & Conquer: Red Alert 2 - Yuri's Revenge,10/10/2001,Westwood Studios,Electronic Arts,Command RTS,Rated T For Teen,8.7,269
Lumines,3/22/2005,Q Entertainment,Ubisoft,Matching Puzzle,Rated E +10 For Everyone +10,7.5,47
Armored Core 3,9/5/2002,From Software,Agetec,Vehicle Combat Sim,Rated T For Teen,8.1,21
Amped 2,10/28/2003,Indie Built,Microsoft Game Studios,Skiing,Rated E For Everyone,8.4,9
Sword of the Stars II: Lords of Winter,10/28/2011,Kerberos Productions,Paradox Interactive,Strategy,Rated T For Teen,4.7,134
Buzz! Junior: Dino Den,2/22/2008,Cohort Studios,SCEE,Trivia,,,
Neon White,6/16/2022,Angel Matrix,Annapurna Interactive,FPS,Rated T For Teen,8.4,190
BlazBlue: Continuum Shift Extend,2/14/2012,Arc System Works,Aksys Games,2D Fighting,Rated T For Teen,7.5,102
Cosmic Star Heroine,8/14/2018,Zeboyd Games,Limited Run Games,JRPG,Rated T For Teen,7.4,33
The Walking Dead: Saints & Sinners - Chapter 2: Retribution,3/21/2023,Skybound Games,Skybound Games,Survival,Rated M For Mature,7.2,11
MXGP: The Official Motocross Videogame,11/18/2014,Milestone S.r.l,Bandai Namco Games,Arcade Racing,Rated E For Everyone,6.4,14
Mortal Kombat XL,3/1/2016,NetherRealm Studios,Warner Bros. Interactive Entertainment,2D Fighting,Rated M For Mature,7.7,672
Resident Evil 5: Desperate Escape,3/3/2010,Capcom,Capcom,Survival,Rated M For Mature,7.6,27
Silent Hunter 5: Battle of the Atlantic,3/2/2010,Ubisoft Romania,Ubisoft,Marine Combat Sim,Rated T For Teen,5.6,46
Saban's Power Rangers Megaforce,11/5/2013,Digital Works Entertainment,Namco Bandai Games,2D Beat-'Em-Up,Rated E +10 For Everyone +10,4.5,12
Block Fortress,3/7/2013,,,Action,,,
WWE 2K14,10/29/2013,Yuke's,2K Games,Wrestling,Rated T For Teen,7.7,128
Murder by Numbers,3/6/2020,Mediatonic,The Irregular Corporation,Visual Novel,,6.7,23
Ratchet & Clank: Size Matters,2/13/2007,High Impact Games,SCEA,3D Platformer,Rated E +10 For Everyone +10,8,191
Unepic,1/16/2014,EnjoyUp Games,EnjoyUp Games,Action RPG,Rated T For Teen,7.5,58
The Lord of the Rings: The Battle for Middle-Earth II - The Rise of the Witch-King,11/28/2006,EA LA,EA Games,Real-Time Strategy,Rated T For Teen,8.8,129
MLB The Show 18,3/27/2018,Sony Interactive Entertainment,Sony Interactive Entertainment,Baseball Sim,Rated E For Everyone,6.3,103
