title,releasedate,developer,publisher,genres,productrating,userscore,userratingscount,id
Ziggurat (2012),2012-02-17,Action Button Entertainment,Freshuu Inc.,Action,,6.9,14,1
4X4 EVO 2,2001-11-15,Terminal Reality,Gathering,Auto Racing Sim,Rated E For Everyone,,,2
MotoGP 2 (2001),2002-01-22,Namco,Namco,Auto Racing Sim,Rated E For Everyone,5.8,,3
Gothic 3,2006-11-14,Piranha Bytes,Aspyr,Western RPG,Rated T For Teen,7.5,832,4
Siege Survival: Gloria Victis,2021-05-18,FishTankStudio,Black Eye Games,RPG,,6.5,10,5
Guitar Hero III: Legends of Rock,2007-10-28,Neversoft Entertainment,RedOctane,Rhythm,Rated T For Teen,8.4,144,6
Frantix: A Puzzle Adventure,2005-09-19,Killer Game,Sony Online Entertainment,Action Puzzle,Rated E For Everyone,,,7
Xenoraid,2016-11-08,10tons,10tons,Vertical Shoot-'Em-Up,Rated E +10 For Everyone +10,6.2,6,8
The Sims: Livin' Large,2000-08-27,Maxis,EA Games,Virtual Life,Rated T For Teen,7.7,20,9
Retrovirus,2012-11-16,Cadenza,Cadenza,FPS,,6.6,20,10
Til Morning's Light,2015-05-20,WayForward,Amazon Game Studios,Action,,6.4,7,11
The Political Machine 2012,2012-07-31,Stardock,Stardock,Turn-Based Strategy,,6.5,30,12
"Warhammer 40,000: Space Marine",2011-09-06,Relic Entertainment,THQ,Third Person Shooter,Rated M For Mature,7.8,259,13
Star Wars Episode III: Revenge of the Sith,2005-05-04,Double Helix Games,LucasArts,Action Adventure,Rated T For Teen,7.7,27,14
Saints Row IV,2013-08-19,Volition Inc.,Deep Silver,Open-World Action,Rated M For Mature,7.4,1997,15
The Hobbit: The Prelude to the Lord of the Rings,2003-11-11,Inevitable Entertainment,Sierra Entertainment,Action Adventure,Rated E For Everyone,8.4,18,16
Lost Orbit,2015-05-12,PixelNAUTS,PixelNAUTS,2D Platformer,Rated T For Teen,7.1,23,17
SwapQuest,2016-02-23,Constantin Graf,Constantin Graf,JRPG,Rated E +10 For Everyone +10,7,6,18
Command & Conquer: Red Alert 2 - Yuri's Revenge,2001-10-10,Westwood Studios,Electronic Arts,Command RTS,Rated T For Teen,8.7,269,19
Lumines,2005-03-22,Q Entertainment,Ubisoft,Matching Puzzle,Rated E +10 For Everyone +10,7.5,47,20
Armored Core 3,2002-09-05,From Software,Agetec,Vehicle Combat Sim,Rated T For Teen,8.1,21,21
Amped 2,2003-10-28,Indie Built,Microsoft Game Studios,Skiing,Rated E For Everyone,8.4,9,22
Sword of the Stars II: Lords of Winter,2011-10-28,Kerberos Productions,Paradox Interactive,Strategy,Rated T For Teen,4.7,134,23
